"";"Parameter";"Median";"CI";"CI_low";"CI_high";"Rhat";"ESS";"Taxon"
"25";"Year";0,00238868;0,95;-0,054570145;0,0811323025;1,0006325666674;4762,2246197369;"Amphibians"
"23";"Pollution0";0,04961565;0,95;-0,189223275;0,281708375;0,999752344429187;17867,8179215711;"Amphibians"
"24";"Pollution1";1,08582;0,95;-0,30914835;2,47982425;1,00035072438943;12826,3156732714;"Amphibians"
"12";"Habitat loss1";0,2386005;0,95;-0,2934309;0,760520825;0,999835148240408;13732,0170185483;"Amphibians"
"2";"Climate change1";0,304129;0,95;-1,370415;1,97230675;0,999923118697572;17920,164612427;"Amphibians"
"16";"Invasive1";0,869508;0,95;0,01577451;1,69362525;0,999740240878149;16391,6529139695;"Amphibians"
"5";"Exploitation1";0,7890845;0,95;-0,940055675;2,52584975;0,99977886225035;21392,3026353259;"Amphibians"
"3";"Disease1";-0,269503;0,95;-1,6008615;0,9840461;1,00022425119379;13064,103778867;"Amphibians"
"22";"Pollution.Habitat loss1";0,29497;0,95;-1,1948645;1,79936725;0,999939888260153;13013,8725797316;"Amphibians"
"18";"Pollution.Climate change1";0,16598;0,95;-1,58502525;1,92816375;0,999813301916135;17133,8753242361;"Amphibians"
"20";"Pollution.Exploitation1";-0,2672985;0,95;-2,10718275;1,63108675;0,999693822279674;26804,4917408001;"Amphibians"
"19";"Pollution.Disease1";0,169637;0,95;-1,6037025;1,91692075;0,999818911713666;17206,3190574935;"Amphibians"
"7";"Habitat loss.Climate change1";0,1228975;0,95;-1,553764;1,811138;0,999978188990479;20281,6900056075;"Amphibians"
"11";"Habitat loss.Invasive1";0,03037;0,95;-1,63069075;1,67434775;0,999683798830481;17887,4207491215;"Amphibians"
"9";"Habitat loss.Exploitation1";-0,274702;0,95;-2,114185;1,61754075;0,999652964980936;23478,5554735058;"Amphibians"
"8";"Habitat loss.Disease1";-0,5273615;0,95;-1,95630475;0,873491949999999;1,00038290211837;15880,3549288931;"Amphibians"
"1";"Climate change.Disease1";0,278761;0,95;-1,41034575;1,96200975;0,999924042761762;19106,7380848524;"Amphibians"
"15";"Invasive.Exploitation1";1,038815;0,95;-0,781166049999999;2,85218425;0,999870859566572;20970,5405042973;"Amphibians"
"13";"Invasive.Disease1";0,3530725;0,95;-1,04796;1,79236675;1,00017816418754;14307,0508720124;"Amphibians"
"4";"Exploitation.Disease1";1,03301;0,95;-0,813714424999999;2,885319;0,999912027163018;21507,7512500099;"Amphibians"
"21";"Pollution.Habitat loss.Exploitation1";-0,263896;0,95;-2,11025575;1,55332575;0,99995452501395;21917,0578209716;"Amphibians"
"17";"Pollution.Climate change.Disease1";0,151718;0,95;-1,58037;1,8935305;0,999648804009916;22065,8571757508;"Amphibians"
"6";"Habitat loss.Climate change.Disease1";0,127605;0,95;-1,534085;1,816553;0,999910885025133;20034,6736671967;"Amphibians"
"10";"Habitat loss.Invasive.Disease1";0,3065835;0,95;-1,48767825;2,09196275;0,999813763936251;24920,5870325285;"Amphibians"
"14";"Invasive.Exploitation.Disease1";1,04085;0,95;-0,786506275;2,860169;0,999877339751209;21561,9408897335;"Amphibians"
"48";"Year:Pollution1";-0,1046275;0,95;-0,241351825;0,0290077749999999;1,00032538496261;8119,36813939634;"Amphibians"
"37";"Year:Habitat loss1";-0,0160784;0,95;-0,0640802225;0,0335537549999999;1,00024185659499;5374,98669873506;"Amphibians"
"27";"Year:Climate change1";-0,0228334;0,95;-1,6531;1,5657335;0,999675153381564;18552,04331535;"Amphibians"
"41";"Year:Invasive1";-0,03080925;0,95;-0,10406675;0,0400437975;1,00008075175672;6626,95329215112;"Amphibians"
"30";"Year:Exploitation1";-0,04063105;0,95;-1,5403875;1,484853;0,999777286950514;17084,715744753;"Amphibians"
"28";"Year:Disease1";-0,000225905;0,95;-0,964710075;0,964395925;0,999777336672667;5276,20577826843;"Amphibians"
"47";"Year:Pollution.Habitat loss1";0,0204299;0,95;-0,130567825;0,170076275;1,00054242258459;7240,22035057586;"Amphibians"
"43";"Year:Pollution.Climate change1";-0,0200955;0,95;-1,710056;1,688005;0,999713646364758;19435,8118268179;"Amphibians"
"45";"Year:Pollution.Exploitation1";0,02851235;0,95;-1,6356415;1,68688975;0,999815823132168;21543,4262290976;"Amphibians"
"44";"Year:Pollution.Disease1";-0,0005506255;0,95;-1,69995675;1,70925025;0,99974272650102;17399,7269644349;"Amphibians"
"32";"Year:Habitat loss.Climate change1";-0,01052765;0,95;-1,641891;1,61104975;0,999810202317608;22067,1306480038;"Amphibians"
"36";"Year:Habitat loss.Invasive1";-0,02312035;0,95;-0,180185575;0,132638375;1,0000291668044;9151,3254769644;"Amphibians"
"34";"Year:Habitat loss.Exploitation1";0,01292285;0,95;-1,6871445;1,695898;0,999799664151303;18715,0398259205;"Amphibians"
"33";"Year:Habitat loss.Disease1";0,01485635;0,95;-0,95166185;0,989749775;0,999790883508005;5344,72005868238;"Amphibians"
"26";"Year:Climate change.Disease1";-0,03228615;0,95;-1,62658675;1,59554775;0,999893563337246;19232,4255116534;"Amphibians"
"40";"Year:Invasive.Exploitation1";-0,0637969;0,95;-1,73277275;1,65417975;0,999816998458638;20247,723102639;"Amphibians"
"38";"Year:Invasive.Disease1";-0,02840985;0,95;-0,99708125;0,931915925;0,999797522834098;5285,00657082721;"Amphibians"
"29";"Year:Exploitation.Disease1";-0,07351795;0,95;-1,7705565;1,5775215;0,999937021162632;18305,4977662605;"Amphibians"
"46";"Year:Pollution.Habitat loss.Exploitation1";0,0106992;0,95;-1,64237475;1,71166925;0,999768315119178;21025,5844500201;"Amphibians"
"42";"Year:Pollution.Climate change.Disease1";-0,01950705;0,95;-1,7257605;1,7080005;0,999690391263073;19691,3600670788;"Amphibians"
"31";"Year:Habitat loss.Climate change.Disease1";-0,00251194;0,95;-1,62668;1,64750825;0,999642738070764;19442,7307137627;"Amphibians"
"35";"Year:Habitat loss.Invasive.Disease1";-0,0232248;0,95;-0,986986875;0,957489849999999;0,999793454757804;5431,8192473055;"Amphibians"
"39";"Year:Invasive.Exploitation.Disease1";-0,0401398;0,95;-1,73171425;1,65857825;0,99989078942101;19875,9223107673;"Amphibians"
"251";"Year";0,00238868;0,95;-0,054570145;0,0811323025;1,0006325666674;4762,2246197369;"Birds"
"231";"Pollution0";0,04961565;0,95;-0,189223275;0,281708375;0,999752344429187;17867,8179215711;"Birds"
"241";"Pollution1";1,08582;0,95;-0,30914835;2,47982425;1,00035072438943;12826,3156732714;"Birds"
"121";"Habitat loss1";0,2386005;0,95;-0,2934309;0,760520825;0,999835148240408;13732,0170185483;"Birds"
"210";"Climate change1";0,304129;0,95;-1,370415;1,97230675;0,999923118697572;17920,164612427;"Birds"
"161";"Invasive1";0,869508;0,95;0,01577451;1,69362525;0,999740240878149;16391,6529139695;"Birds"
"51";"Exploitation1";0,7890845;0,95;-0,940055675;2,52584975;0,99977886225035;21392,3026353259;"Birds"
"310";"Disease1";-0,269503;0,95;-1,6008615;0,9840461;1,00022425119379;13064,103778867;"Birds"
"221";"Pollution.Habitat loss1";0,29497;0,95;-1,1948645;1,79936725;0,999939888260153;13013,8725797316;"Birds"
"181";"Pollution.Climate change1";0,16598;0,95;-1,58502525;1,92816375;0,999813301916135;17133,8753242361;"Birds"
"201";"Pollution.Exploitation1";-0,2672985;0,95;-2,10718275;1,63108675;0,999693822279674;26804,4917408001;"Birds"
"191";"Pollution.Disease1";0,169637;0,95;-1,6037025;1,91692075;0,999818911713666;17206,3190574935;"Birds"
"71";"Habitat loss.Climate change1";0,1228975;0,95;-1,553764;1,811138;0,999978188990479;20281,6900056075;"Birds"
"111";"Habitat loss.Invasive1";0,03037;0,95;-1,63069075;1,67434775;0,999683798830481;17887,4207491215;"Birds"
"91";"Habitat loss.Exploitation1";-0,274702;0,95;-2,114185;1,61754075;0,999652964980936;23478,5554735058;"Birds"
"81";"Habitat loss.Disease1";-0,5273615;0,95;-1,95630475;0,873491949999999;1,00038290211837;15880,3549288931;"Birds"
"110";"Climate change.Disease1";0,278761;0,95;-1,41034575;1,96200975;0,999924042761762;19106,7380848524;"Birds"
"151";"Invasive.Exploitation1";1,038815;0,95;-0,781166049999999;2,85218425;0,999870859566572;20970,5405042973;"Birds"
"131";"Invasive.Disease1";0,3530725;0,95;-1,04796;1,79236675;1,00017816418754;14307,0508720124;"Birds"
"49";"Exploitation.Disease1";1,03301;0,95;-0,813714424999999;2,885319;0,999912027163018;21507,7512500099;"Birds"
"211";"Pollution.Habitat loss.Exploitation1";-0,263896;0,95;-2,11025575;1,55332575;0,99995452501395;21917,0578209716;"Birds"
"171";"Pollution.Climate change.Disease1";0,151718;0,95;-1,58037;1,8935305;0,999648804009916;22065,8571757508;"Birds"
"61";"Habitat loss.Climate change.Disease1";0,127605;0,95;-1,534085;1,816553;0,999910885025133;20034,6736671967;"Birds"
"101";"Habitat loss.Invasive.Disease1";0,3065835;0,95;-1,48767825;2,09196275;0,999813763936251;24920,5870325285;"Birds"
"141";"Invasive.Exploitation.Disease1";1,04085;0,95;-0,786506275;2,860169;0,999877339751209;21561,9408897335;"Birds"
"481";"Year:Pollution1";-0,1046275;0,95;-0,241351825;0,0290077749999999;1,00032538496261;8119,36813939634;"Birds"
"371";"Year:Habitat loss1";-0,0160784;0,95;-0,0640802225;0,0335537549999999;1,00024185659499;5374,98669873506;"Birds"
"271";"Year:Climate change1";-0,0228334;0,95;-1,6531;1,5657335;0,999675153381564;18552,04331535;"Birds"
"411";"Year:Invasive1";-0,03080925;0,95;-0,10406675;0,0400437975;1,00008075175672;6626,95329215112;"Birds"
"301";"Year:Exploitation1";-0,04063105;0,95;-1,5403875;1,484853;0,999777286950514;17084,715744753;"Birds"
"281";"Year:Disease1";-0,000225905;0,95;-0,964710075;0,964395925;0,999777336672667;5276,20577826843;"Birds"
"471";"Year:Pollution.Habitat loss1";0,0204299;0,95;-0,130567825;0,170076275;1,00054242258459;7240,22035057586;"Birds"
"431";"Year:Pollution.Climate change1";-0,0200955;0,95;-1,710056;1,688005;0,999713646364758;19435,8118268179;"Birds"
"451";"Year:Pollution.Exploitation1";0,02851235;0,95;-1,6356415;1,68688975;0,999815823132168;21543,4262290976;"Birds"
"441";"Year:Pollution.Disease1";-0,0005506255;0,95;-1,69995675;1,70925025;0,99974272650102;17399,7269644349;"Birds"
"321";"Year:Habitat loss.Climate change1";-0,01052765;0,95;-1,641891;1,61104975;0,999810202317608;22067,1306480038;"Birds"
"361";"Year:Habitat loss.Invasive1";-0,02312035;0,95;-0,180185575;0,132638375;1,0000291668044;9151,3254769644;"Birds"
"341";"Year:Habitat loss.Exploitation1";0,01292285;0,95;-1,6871445;1,695898;0,999799664151303;18715,0398259205;"Birds"
"331";"Year:Habitat loss.Disease1";0,01485635;0,95;-0,95166185;0,989749775;0,999790883508005;5344,72005868238;"Birds"
"261";"Year:Climate change.Disease1";-0,03228615;0,95;-1,62658675;1,59554775;0,999893563337246;19232,4255116534;"Birds"
"401";"Year:Invasive.Exploitation1";-0,0637969;0,95;-1,73277275;1,65417975;0,999816998458638;20247,723102639;"Birds"
"381";"Year:Invasive.Disease1";-0,02840985;0,95;-0,99708125;0,931915925;0,999797522834098;5285,00657082721;"Birds"
"291";"Year:Exploitation.Disease1";-0,07351795;0,95;-1,7705565;1,5775215;0,999937021162632;18305,4977662605;"Birds"
"461";"Year:Pollution.Habitat loss.Exploitation1";0,0106992;0,95;-1,64237475;1,71166925;0,999768315119178;21025,5844500201;"Birds"
"421";"Year:Pollution.Climate change.Disease1";-0,01950705;0,95;-1,7257605;1,7080005;0,999690391263073;19691,3600670788;"Birds"
"311";"Year:Habitat loss.Climate change.Disease1";-0,00251194;0,95;-1,62668;1,64750825;0,999642738070764;19442,7307137627;"Birds"
"351";"Year:Habitat loss.Invasive.Disease1";-0,0232248;0,95;-0,986986875;0,957489849999999;0,999793454757804;5431,8192473055;"Birds"
"391";"Year:Invasive.Exploitation.Disease1";-0,0401398;0,95;-1,73171425;1,65857825;0,99989078942101;19875,9223107673;"Birds"
"252";"Year";0,00238868;0,95;-0,054570145;0,0811323025;1,0006325666674;4762,2246197369;"Mammals"
"232";"Pollution0";0,04961565;0,95;-0,189223275;0,281708375;0,999752344429187;17867,8179215711;"Mammals"
"242";"Pollution1";1,08582;0,95;-0,30914835;2,47982425;1,00035072438943;12826,3156732714;"Mammals"
"122";"Habitat loss1";0,2386005;0,95;-0,2934309;0,760520825;0,999835148240408;13732,0170185483;"Mammals"
"212";"Climate change1";0,304129;0,95;-1,370415;1,97230675;0,999923118697572;17920,164612427;"Mammals"
"162";"Invasive1";0,869508;0,95;0,01577451;1,69362525;0,999740240878149;16391,6529139695;"Mammals"
"52";"Exploitation1";0,7890845;0,95;-0,940055675;2,52584975;0,99977886225035;21392,3026353259;"Mammals"
"312";"Disease1";-0,269503;0,95;-1,6008615;0,9840461;1,00022425119379;13064,103778867;"Mammals"
"222";"Pollution.Habitat loss1";0,29497;0,95;-1,1948645;1,79936725;0,999939888260153;13013,8725797316;"Mammals"
"182";"Pollution.Climate change1";0,16598;0,95;-1,58502525;1,92816375;0,999813301916135;17133,8753242361;"Mammals"
"202";"Pollution.Exploitation1";-0,2672985;0,95;-2,10718275;1,63108675;0,999693822279674;26804,4917408001;"Mammals"
"192";"Pollution.Disease1";0,169637;0,95;-1,6037025;1,91692075;0,999818911713666;17206,3190574935;"Mammals"
"72";"Habitat loss.Climate change1";0,1228975;0,95;-1,553764;1,811138;0,999978188990479;20281,6900056075;"Mammals"
"112";"Habitat loss.Invasive1";0,03037;0,95;-1,63069075;1,67434775;0,999683798830481;17887,4207491215;"Mammals"
"92";"Habitat loss.Exploitation1";-0,274702;0,95;-2,114185;1,61754075;0,999652964980936;23478,5554735058;"Mammals"
"82";"Habitat loss.Disease1";-0,5273615;0,95;-1,95630475;0,873491949999999;1,00038290211837;15880,3549288931;"Mammals"
"113";"Climate change.Disease1";0,278761;0,95;-1,41034575;1,96200975;0,999924042761762;19106,7380848524;"Mammals"
"152";"Invasive.Exploitation1";1,038815;0,95;-0,781166049999999;2,85218425;0,999870859566572;20970,5405042973;"Mammals"
"132";"Invasive.Disease1";0,3530725;0,95;-1,04796;1,79236675;1,00017816418754;14307,0508720124;"Mammals"
"410";"Exploitation.Disease1";1,03301;0,95;-0,813714424999999;2,885319;0,999912027163018;21507,7512500099;"Mammals"
"213";"Pollution.Habitat loss.Exploitation1";-0,263896;0,95;-2,11025575;1,55332575;0,99995452501395;21917,0578209716;"Mammals"
"172";"Pollution.Climate change.Disease1";0,151718;0,95;-1,58037;1,8935305;0,999648804009916;22065,8571757508;"Mammals"
"62";"Habitat loss.Climate change.Disease1";0,127605;0,95;-1,534085;1,816553;0,999910885025133;20034,6736671967;"Mammals"
"102";"Habitat loss.Invasive.Disease1";0,3065835;0,95;-1,48767825;2,09196275;0,999813763936251;24920,5870325285;"Mammals"
"142";"Invasive.Exploitation.Disease1";1,04085;0,95;-0,786506275;2,860169;0,999877339751209;21561,9408897335;"Mammals"
"482";"Year:Pollution1";-0,1046275;0,95;-0,241351825;0,0290077749999999;1,00032538496261;8119,36813939634;"Mammals"
"372";"Year:Habitat loss1";-0,0160784;0,95;-0,0640802225;0,0335537549999999;1,00024185659499;5374,98669873506;"Mammals"
"272";"Year:Climate change1";-0,0228334;0,95;-1,6531;1,5657335;0,999675153381564;18552,04331535;"Mammals"
"412";"Year:Invasive1";-0,03080925;0,95;-0,10406675;0,0400437975;1,00008075175672;6626,95329215112;"Mammals"
"302";"Year:Exploitation1";-0,04063105;0,95;-1,5403875;1,484853;0,999777286950514;17084,715744753;"Mammals"
"282";"Year:Disease1";-0,000225905;0,95;-0,964710075;0,964395925;0,999777336672667;5276,20577826843;"Mammals"
"472";"Year:Pollution.Habitat loss1";0,0204299;0,95;-0,130567825;0,170076275;1,00054242258459;7240,22035057586;"Mammals"
"432";"Year:Pollution.Climate change1";-0,0200955;0,95;-1,710056;1,688005;0,999713646364758;19435,8118268179;"Mammals"
"452";"Year:Pollution.Exploitation1";0,02851235;0,95;-1,6356415;1,68688975;0,999815823132168;21543,4262290976;"Mammals"
"442";"Year:Pollution.Disease1";-0,0005506255;0,95;-1,69995675;1,70925025;0,99974272650102;17399,7269644349;"Mammals"
"322";"Year:Habitat loss.Climate change1";-0,01052765;0,95;-1,641891;1,61104975;0,999810202317608;22067,1306480038;"Mammals"
"362";"Year:Habitat loss.Invasive1";-0,02312035;0,95;-0,180185575;0,132638375;1,0000291668044;9151,3254769644;"Mammals"
"342";"Year:Habitat loss.Exploitation1";0,01292285;0,95;-1,6871445;1,695898;0,999799664151303;18715,0398259205;"Mammals"
"332";"Year:Habitat loss.Disease1";0,01485635;0,95;-0,95166185;0,989749775;0,999790883508005;5344,72005868238;"Mammals"
"262";"Year:Climate change.Disease1";-0,03228615;0,95;-1,62658675;1,59554775;0,999893563337246;19232,4255116534;"Mammals"
"402";"Year:Invasive.Exploitation1";-0,0637969;0,95;-1,73277275;1,65417975;0,999816998458638;20247,723102639;"Mammals"
"382";"Year:Invasive.Disease1";-0,02840985;0,95;-0,99708125;0,931915925;0,999797522834098;5285,00657082721;"Mammals"
"292";"Year:Exploitation.Disease1";-0,07351795;0,95;-1,7705565;1,5775215;0,999937021162632;18305,4977662605;"Mammals"
"462";"Year:Pollution.Habitat loss.Exploitation1";0,0106992;0,95;-1,64237475;1,71166925;0,999768315119178;21025,5844500201;"Mammals"
"422";"Year:Pollution.Climate change.Disease1";-0,01950705;0,95;-1,7257605;1,7080005;0,999690391263073;19691,3600670788;"Mammals"
"313";"Year:Habitat loss.Climate change.Disease1";-0,00251194;0,95;-1,62668;1,64750825;0,999642738070764;19442,7307137627;"Mammals"
"352";"Year:Habitat loss.Invasive.Disease1";-0,0232248;0,95;-0,986986875;0,957489849999999;0,999793454757804;5431,8192473055;"Mammals"
"392";"Year:Invasive.Exploitation.Disease1";-0,0401398;0,95;-1,73171425;1,65857825;0,99989078942101;19875,9223107673;"Mammals"
"253";"Year";0,00238868;0,95;-0,054570145;0,0811323025;1,0006325666674;4762,2246197369;"Reptiles"
"233";"Pollution0";0,04961565;0,95;-0,189223275;0,281708375;0,999752344429187;17867,8179215711;"Reptiles"
"243";"Pollution1";1,08582;0,95;-0,30914835;2,47982425;1,00035072438943;12826,3156732714;"Reptiles"
"123";"Habitat loss1";0,2386005;0,95;-0,2934309;0,760520825;0,999835148240408;13732,0170185483;"Reptiles"
"214";"Climate change1";0,304129;0,95;-1,370415;1,97230675;0,999923118697572;17920,164612427;"Reptiles"
"163";"Invasive1";0,869508;0,95;0,01577451;1,69362525;0,999740240878149;16391,6529139695;"Reptiles"
"53";"Exploitation1";0,7890845;0,95;-0,940055675;2,52584975;0,99977886225035;21392,3026353259;"Reptiles"
"314";"Disease1";-0,269503;0,95;-1,6008615;0,9840461;1,00022425119379;13064,103778867;"Reptiles"
"223";"Pollution.Habitat loss1";0,29497;0,95;-1,1948645;1,79936725;0,999939888260153;13013,8725797316;"Reptiles"
"183";"Pollution.Climate change1";0,16598;0,95;-1,58502525;1,92816375;0,999813301916135;17133,8753242361;"Reptiles"
"203";"Pollution.Exploitation1";-0,2672985;0,95;-2,10718275;1,63108675;0,999693822279674;26804,4917408001;"Reptiles"
"193";"Pollution.Disease1";0,169637;0,95;-1,6037025;1,91692075;0,999818911713666;17206,3190574935;"Reptiles"
"73";"Habitat loss.Climate change1";0,1228975;0,95;-1,553764;1,811138;0,999978188990479;20281,6900056075;"Reptiles"
"114";"Habitat loss.Invasive1";0,03037;0,95;-1,63069075;1,67434775;0,999683798830481;17887,4207491215;"Reptiles"
"93";"Habitat loss.Exploitation1";-0,274702;0,95;-2,114185;1,61754075;0,999652964980936;23478,5554735058;"Reptiles"
"83";"Habitat loss.Disease1";-0,5273615;0,95;-1,95630475;0,873491949999999;1,00038290211837;15880,3549288931;"Reptiles"
"115";"Climate change.Disease1";0,278761;0,95;-1,41034575;1,96200975;0,999924042761762;19106,7380848524;"Reptiles"
"153";"Invasive.Exploitation1";1,038815;0,95;-0,781166049999999;2,85218425;0,999870859566572;20970,5405042973;"Reptiles"
"133";"Invasive.Disease1";0,3530725;0,95;-1,04796;1,79236675;1,00017816418754;14307,0508720124;"Reptiles"
"413";"Exploitation.Disease1";1,03301;0,95;-0,813714424999999;2,885319;0,999912027163018;21507,7512500099;"Reptiles"
"215";"Pollution.Habitat loss.Exploitation1";-0,263896;0,95;-2,11025575;1,55332575;0,99995452501395;21917,0578209716;"Reptiles"
"173";"Pollution.Climate change.Disease1";0,151718;0,95;-1,58037;1,8935305;0,999648804009916;22065,8571757508;"Reptiles"
"63";"Habitat loss.Climate change.Disease1";0,127605;0,95;-1,534085;1,816553;0,999910885025133;20034,6736671967;"Reptiles"
"103";"Habitat loss.Invasive.Disease1";0,3065835;0,95;-1,48767825;2,09196275;0,999813763936251;24920,5870325285;"Reptiles"
"143";"Invasive.Exploitation.Disease1";1,04085;0,95;-0,786506275;2,860169;0,999877339751209;21561,9408897335;"Reptiles"
"483";"Year:Pollution1";-0,1046275;0,95;-0,241351825;0,0290077749999999;1,00032538496261;8119,36813939634;"Reptiles"
"373";"Year:Habitat loss1";-0,0160784;0,95;-0,0640802225;0,0335537549999999;1,00024185659499;5374,98669873506;"Reptiles"
"273";"Year:Climate change1";-0,0228334;0,95;-1,6531;1,5657335;0,999675153381564;18552,04331535;"Reptiles"
"414";"Year:Invasive1";-0,03080925;0,95;-0,10406675;0,0400437975;1,00008075175672;6626,95329215112;"Reptiles"
"303";"Year:Exploitation1";-0,04063105;0,95;-1,5403875;1,484853;0,999777286950514;17084,715744753;"Reptiles"
"283";"Year:Disease1";-0,000225905;0,95;-0,964710075;0,964395925;0,999777336672667;5276,20577826843;"Reptiles"
"473";"Year:Pollution.Habitat loss1";0,0204299;0,95;-0,130567825;0,170076275;1,00054242258459;7240,22035057586;"Reptiles"
"433";"Year:Pollution.Climate change1";-0,0200955;0,95;-1,710056;1,688005;0,999713646364758;19435,8118268179;"Reptiles"
"453";"Year:Pollution.Exploitation1";0,02851235;0,95;-1,6356415;1,68688975;0,999815823132168;21543,4262290976;"Reptiles"
"443";"Year:Pollution.Disease1";-0,0005506255;0,95;-1,69995675;1,70925025;0,99974272650102;17399,7269644349;"Reptiles"
"323";"Year:Habitat loss.Climate change1";-0,01052765;0,95;-1,641891;1,61104975;0,999810202317608;22067,1306480038;"Reptiles"
"363";"Year:Habitat loss.Invasive1";-0,02312035;0,95;-0,180185575;0,132638375;1,0000291668044;9151,3254769644;"Reptiles"
"343";"Year:Habitat loss.Exploitation1";0,01292285;0,95;-1,6871445;1,695898;0,999799664151303;18715,0398259205;"Reptiles"
"333";"Year:Habitat loss.Disease1";0,01485635;0,95;-0,95166185;0,989749775;0,999790883508005;5344,72005868238;"Reptiles"
"263";"Year:Climate change.Disease1";-0,03228615;0,95;-1,62658675;1,59554775;0,999893563337246;19232,4255116534;"Reptiles"
"403";"Year:Invasive.Exploitation1";-0,0637969;0,95;-1,73277275;1,65417975;0,999816998458638;20247,723102639;"Reptiles"
"383";"Year:Invasive.Disease1";-0,02840985;0,95;-0,99708125;0,931915925;0,999797522834098;5285,00657082721;"Reptiles"
"293";"Year:Exploitation.Disease1";-0,07351795;0,95;-1,7705565;1,5775215;0,999937021162632;18305,4977662605;"Reptiles"
"463";"Year:Pollution.Habitat loss.Exploitation1";0,0106992;0,95;-1,64237475;1,71166925;0,999768315119178;21025,5844500201;"Reptiles"
"423";"Year:Pollution.Climate change.Disease1";-0,01950705;0,95;-1,7257605;1,7080005;0,999690391263073;19691,3600670788;"Reptiles"
"315";"Year:Habitat loss.Climate change.Disease1";-0,00251194;0,95;-1,62668;1,64750825;0,999642738070764;19442,7307137627;"Reptiles"
"353";"Year:Habitat loss.Invasive.Disease1";-0,0232248;0,95;-0,986986875;0,957489849999999;0,999793454757804;5431,8192473055;"Reptiles"
"393";"Year:Invasive.Exploitation.Disease1";-0,0401398;0,95;-1,73171425;1,65857825;0,99989078942101;19875,9223107673;"Reptiles"
